ID;nest_name;municipaliy;location;coordX;coordY;tree_species;latitude;longitude;eu_dem_v11;swissALTI;nest_height_m;official_zip;official_municipality;official_locality;official_canton;official_country
1;Liebistorf_Allmend;Liebistorf;Allmend;581257;196165;Psyl;46.916319;7.192582;532.97;526.66;NA;3213;Liebistorf;Allmend;Fribourg;Switzerland
2;Gurmels_Kleinbösingen;Gurmels;Kleinbösingen;581995;193919;Psyl;46.896136;7.20236;544.42;547.75;26.2;3213;Kleinbösingen;Wyerholz;Fribourg;Switzerland
3;Bösingen_Noflenau;Bösingen;Noflenau;586620;193502;Fsyl;46.892495;7.263064;542.13;526.19;NA;3184;Wünnewil;Farneraholz;Fribourg;Switzerland
4;Ueberstorf_Lenglod;Ueberstorf;Lenglod;592659;192076;Pabi;46.879763;7.34233;656.95;630.04;32.4;3182;Ueberstorf;Mühleholz;Fribourg;Switzerland
5;Ueberstorf_Niedermettlen;Ueberstorf;Niedermettlen;590987;191299;Fsyl;46.872753;7.320411;656.46;647.16;20.1;3182;Ueberstorf;Würi;Fribourg;Switzerland
6;Ueberstorf_Banholz 15;Ueberstorf;Banholz 15;589192;190747;Fsyl;46.86776;7.296879;648.56;650.59;30.0;3182;Ueberstorf;Banholz;Fribourg;Switzerland
7;Ueberstorf_Ledeu beech;Ueberstorf;Ledeu beech;589378;189787;Fsyl;46.859128;7.299341;659.40;661.87;22.8;3182;Ueberstorf;Studweid;Fribourg;Switzerland
8;Schmitten_Bunziwil 15;Schmitten;Bunziwil 15;586724;189394;Fsyl;46.855545;7.264549;621.94;624.95;19.9;3185;Schmitten (FR);Maiächerli;Fribourg;Switzerland
9;Schmitten_Rütihubel;Schmitten;Rütihubel;583054;189081;Fsyl;46.852645;7.216437;686.89;682.08;NA;3186;Düdingen;Farnera;Fribourg;Switzerland
10;Ueberstorf_Summerau edge;Ueberstorf;Summerau edge;591732;189075;Pabi;46.852757;7.330224;769.77;764.91;30.5;3182;Ueberstorf;Summerau;Fribourg;Switzerland
11;Ueberstorf_Mischlere;Ueberstorf;Mischlere;589486;189061;Pabi;46.852599;7.300774;711.53;690.57;31.5;3182;Ueberstorf;Hofmatt;Fribourg;Switzerland
12;Ueberstorf_Summerau center;Ueberstorf;Summerau center;591732;189033;Pabi;46.852379;7.330223;782.97;766.58;20.2;3182;Ueberstorf;Summerau;Fribourg;Switzerland
13;Schmitten_Ettelberg;Schmitten;Ettelberg;586793;188826;Fsyl;46.850437;7.26547;688.33;674.06;25.0;3185;Schmitten (FR);Bunziwilholz;Fribourg;Switzerland
14;Heitenried_Breitenried;Heitenried;Breitenried;588604;188634;Fsyl;46.848743;7.28922;683.58;686.71;NA;1714;Heitenried;Jungholz;Fribourg;Switzerland
15;Schmitten_Lanthenholz;Schmitten;Lanthenholz;585189;188073;Fsyl;46.843629;7.244464;692.39;690.99;NA;3185;Schmitten (FR);Lanthenholz;Fribourg;Switzerland
16;Lossy_Lossy;Lossy;Lossy;574750;187650;Pabi;46.839509;7.107635;666.91;658.18;32.3;1782;La Corbaz;Botsalet;Fribourg;Switzerland
17;St. Antoni_Menzishus;St. Antoni;Menzishus;587110;187089;Aalb;46.834818;7.269676;695.25;687.34;NA;1713;St. Antoni;Äbnetholz;Fribourg;Switzerland
18;Düdingen_Horia edge;Düdingen;Horia edge;582364;187070;Pabi;46.834538;7.207468;638.83;643.15;24.0;3186;Düdingen;Horia;Fribourg;Switzerland
19;Düdingen_Horia center;Düdingen;Horia center;582337;187012;Pabi;46.834015;7.207116;642.23;646.84;28.3;3186;Düdingen;Horia;Fribourg;Switzerland
20;Düdingen_St. Wolfgangholz spruce;Düdingen;St. Wolfgangholz spruce;580402;186992;Aalb;46.833781;7.181754;633.26;622.31;NA;3186;Düdingen;St. Wolfgang;Fribourg;Switzerland
21;Tafers_Angstorfwäldli;Tafers;Angstorfwäldli;583301;186762;Qrob;46.831792;7.219761;672.33;668.57;NA;3186;Düdingen;Angstorfwäldli;Fribourg;Switzerland
22;St. Antoni_Lehwil pinus;St. Antoni;Lehwil pinus;587989;186757;Psyl;46.831848;7.281207;703.20;710.79;24.8;1714;Heitenried;Buechhölzli;Fribourg;Switzerland
23;St. Antoni_Lehwil beech;St. Antoni;Lehwil beech;587965;186555;Fsyl;46.830031;7.280897;707.17;699.52;19.3;1713;St. Antoni;Horiemoos;Fribourg;Switzerland
24;St. Antoni_Lehwil picea;St. Antoni;Lehwil picea;588002;186516;Pabi;46.829681;7.281383;706.13;699.90;23.3;1713;St. Antoni;Horiemoos;Fribourg;Switzerland
25;Düdingen_Kastels beech;Düdingen;Kastels beech;579982;185979;Fsyl;46.824656;7.176294;650.10;642.84;NA;3186;Düdingen;Graben;Fribourg;Switzerland
26;Düdingen_Kastels prunus;Düdingen;Kastels prunus;579984;185935;Prunus;46.824261;7.176322;650.92;648.73;NA;3186;Düdingen;Graben;Fribourg;Switzerland
27;Heitenried_Winterlingen;Heitenried;Winterlingen;588820;185816;Pabi;46.823398;7.292122;746.74;746.08;NA;1714;Heitenried;Schwelibach;Fribourg;Switzerland
28;St. Antoni_Bächlisbrunnen;St. Antoni;Bächlisbrunnen;586810;185330;Pabi;46.81899;7.265795;785.98;785.90;NA;1713;St. Antoni;Cheerholz;Fribourg;Switzerland
29;Tafers_Chly Maggenberg;Tafers;Chly Maggenberg;582416;184672;Apseu;46.812968;7.208242;678.84;673.82;NA;1712;Tafers;Maggenbergholz;Fribourg;Switzerland
30;St. Antoni_ Sellenried;St. Antoni; Sellenried;586494;184624;Pabi;46.812632;7.261675;764.34;764.17;NA;1713;St. Antoni;Sellenried;Fribourg;Switzerland
31;St. Antoni_Obermonten;St. Antoni;Obermonten;587600;184173;Prunus;46.808597;7.276179;812.11;807.68;NA;1713;St. Antoni;Beckenried;Fribourg;Switzerland
32;Alterswil_Seliholz;Alterswil;Seliholz;585685;184255;Pabi;46.809296;7.251087;767.14;762.10;30.2;1713;St. Antoni;Seeliholz;Fribourg;Switzerland
33;Alterswil_Beniwil;Alterswil;Beniwil;586321;183364;Aalb;46.801295;7.259446;767.59;760.47;28.3;1715;Alterswil FR;Chuemattholz;Fribourg;Switzerland
34;Alterswil_Tolgli;Alterswil;Tolgli;585608;183226;Aalb;46.800038;7.250111;754.96;749.23;NA;1715;Alterswil FR;Tolglihölzli;Fribourg;Switzerland
35;Alterswil_Ober Geriwil;Alterswil;Ober Geriwil;587348;183062;Pabi;46.798599;7.272908;827.30;824.39;NA;1715;Alterswil FR;Neuenacherholz;Fribourg;Switzerland
36;Alterswil_Weiermattenmoos;Alterswil;Weiermattenmoos;588198;182575;Pabi;46.794234;7.284055;799.02;804.19;24.4;1715;Alterswil FR;Afterholz;Fribourg;Switzerland
37;Alterswil_Wolgiswil_S;Alterswil;Wolgiswil_S;584683;182539;Fsyl;46.793838;7.238017;734.47;734.28;22.8;1715;Alterswil FR;Dälhölzli;Fribourg;Switzerland
38;Alterswil_Äschlenberg;Alterswil;Äschlenberg;586514;181872;Fsyl;46.787878;7.262019;754.70;759.35;27.3;1717;St. Ursen;Buechwald;Fribourg;Switzerland
39;Alterswil_Chleholz larch;Alterswil;Chleholz larch;588630;181570;Ldec;46.785201;7.289738;885.70;881.02;NA;1715;Alterswil FR;Chleeholz;Fribourg;Switzerland
40;St. Ursen_Plentsch;St. Ursen;Plentsch;582840;180900;Fsyl;46.779049;7.21394;734.86;734.65;30.2;1717;St. Ursen;Schwand;Fribourg;Switzerland
41;Alterswil_Baletswil;Alterswil;Baletswil;585205;180870;Pabi;46.778836;7.244908;788.77;774.81;NA;1717;St. Ursen;Baletswil;Fribourg;Switzerland
42;St. Ursen_Röschiwil;St. Ursen;Röschiwil;583180;180462;Fsyl;46.775118;7.218408;768.92;773.45;NA;1717;St. Ursen;Feista;Fribourg;Switzerland
43;Tentlingen_Vieille Rossmatta;Tentlingen;Vieille Rossmatta;580430;179657;Pabi;46.767801;7.182436;706.65;697.46;NA;1723;Pierrafortscha;Bois du Freitz;Fribourg;Switzerland
44;Brünisried_Holzgasse;Brünisried;Holzgasse;587622;179510;Aalb;46.766652;7.276594;870.35;878.02;23.8;1719;Brünisried;Holzgasse;Fribourg;Switzerland
45;Zumholz_Brand street;Zumholz;Brand street;588695;178660;Pabi;46.759025;7.290662;828.62;813.22;NA;1719;Zumholz;Riedgarten;Fribourg;Switzerland
46;St. Sylvester_Unterbuech;St. Sylvester;Unterbuech;581926;178048;Fsyl;46.75337;7.202085;745.02;746.88;NA;1736;St. Silvester;Plännige;Fribourg;Switzerland
47;Giffers_Moosmatta;Giffers;Moosmatta;584655;177743;Fsyl;46.750695;7.237812;857.56;850.20;NA;1735;Giffers;Eichholz;Fribourg;Switzerland
48;St. Sylvester_Tschüpru;St. Sylvester;Tschüpru;582925;177483;Fsyl;46.748314;7.215181;773.43;768.11;NA;1736;St. Silvester;Ebnet;Fribourg;Switzerland
49;Vuippens_Vuippens;Vuippens;Vuippens;572397;167289;Pabi;46.656261;7.078021;699.89;694.11;26.5;1633;Vuippens;Grand Clos;Fribourg;Switzerland
50;Echarlens_Stande_de_tir;Echarlens;Stande_de_tir;573290;165690;Fsyl;46.641914;7.08978;728.58;725.82;NA;1646;Echarlens;Les Beys;Fribourg;Switzerland
51;Bas-Intyamon_Grandvillard;Bas-Intyamon;Grandvillard;573760;155095;Pabi;46.546625;7.096524;759.09;752.59;18.6;1666;Grandvillard;Baladsa;Fribourg;Switzerland
52;Haute-Intyamon_Lessoc;Haute-Intyamon;Lessoc;570240;150645;Pabi;46.506448;7.050919;781.77;804.91;18.2;1669;Albeuve;L'Urquier;Fribourg;Switzerland
53;Englisberg_Lower;Englisberg;Lower;602945;194799;Fexc;46.904292;7.477286;651.29;632.54;NA;3122;Kehrsatz;Chilchacherholz;Bern;Switzerland
54;Englisberg_Upper;Englisberg;Upper;602952;194781;Fexc;46.90413;7.477378;651.29;638.25;NA;3122;Kehrsatz;Chilchacherholz;Bern;Switzerland
55;Niedermuhlern_Schür pinus;Niedermuhlern;Schür pinus;601957;190745;Psyl;46.867829;7.464301;868.29;862.92;NA;3087;Niedermuhlern;Tannhubel;Bern;Switzerland
56;Gerzensee_Rüti;Gerzensee;Rüti;608298;188943;Fsyl;46.851571;7.547437;685.38;675.30;NA;3115;Gerzensee;Rütti;Bern;Switzerland
57;Gerzensee_Lake;Gerzensee;Lake;608425;186529;Bpen;46.829855;7.549058;605.18;602.41;NA;3116;Kirchdorf (BE);Gerzensee;Bern;Switzerland
58;Buchholterberg_Badhaus;Buchholterberg;Badhaus;619326;185645;Aalb;46.821677;7.691894;954.09;956.72;NA;3615;Heimenschwand;Buechmatt;Bern;Switzerland
59;Kirchdorf_Tree nursery;Kirchdorf;Tree nursery;608353;184352;Pabi;46.810273;7.548074;605.90;595.37;NA;3116;Noflen BE;Hofure;Bern;Switzerland
60;Steffisburg_Siechenboden lower;Steffisburg;Siechenboden lower;613519;181508;Pabi;46.784606;7.615674;641.01;633.26;NA;3612;Steffisburg;Moos;Bern;Switzerland
61;Steffisburg_Siechenboden upper;Steffisburg;Siechenboden upper;613522;181496;Pabi;46.784498;7.615713;637.15;633.64;NA;3612;Steffisburg;Moos;Bern;Switzerland
62;Horrenbach-Buchen_Rüttegg;Horrenbach-Buchen;Rüttegg;624961;181408;Pabi;46.783376;7.765507;998.22;984.05;NA;3619;Eriz;Rüttegg;Bern;Switzerland
63;Uetendorf_Eichberg;Uetendorf;Eichberg;609525;181312;Fexc;46.782911;7.563367;582.81;573.98;NA;3661;Uetendorf;Leen;Bern;Switzerland
64;Kalchstätten_Herrenmatt;Kalchstätten;Herrenmatt;589434;179254;Pabi;46.764381;7.300321;816.70;816.78;17.3;3158;Guggisberg;Senseflüh-Katzenstieg;Bern;Switzerland
65;Frutigen_Frutigen;Frutigen;Frutigen;615369;158568;Pabi;46.57821;7.639136;836.27;835.88;NA;3714;Frutigen;Loufersallmi;Bern;Switzerland
66;Grolley_S;Grolley;S;571441;186089;Qrob;46.825333;7.064356;654.25;644.89;NA;1772;Grolley;A la Palaz;Fribourg;Switzerland
67;Léchelles_Léchelles;Léchelles;Léchelles;569065;186175;Aalb;46.826002;7.033212;639.54;617.29;33.3;1773;Léchelles;Bois de la Faye;Fribourg;Switzerland
68;Ponthaux_Ponthaux;Ponthaux;Ponthaux;569978;184096;Qrob;46.807341;7.045314;678.98;672.65;20.5;1772;Ponthaux;Les Coires;Fribourg;Switzerland
70;Corserey_North_Corserey;Corserey;North_Corserey;565140;180825;Fsyl;46.777681;6.982183;655.04;650.83;28.3;1747;Corserey;La Scie-au-Crot;Fribourg;Switzerland
71;Corserey_Les Vuettes;Corserey;Les Vuettes;566117;179715;Pabi;46.767747;6.995057;680.27;673.39;22.4;1747;Corserey;Le Monnat;Fribourg;Switzerland
72;Onnens_Onnens;Onnens;Onnens;569320;181110;Pabi;46.780451;7.036895;713.22;708.67;26.3;1756;Onnens FR;En Salley;Fribourg;Switzerland
73;Bösingen_Waldheim;Bösingen;Waldheim;586207;193475;Qrob;46.892244;7.257646;562.99;566.65;NA;3178;Bösingen;Lasenberg;Fribourg;Switzerland
74;Wünnewil_Staffels;Wünnewil;Staffels;586953;192560;Pabi;46.884028;7.267461;559.83;564.65;NA;3184;Wünnewil;Limholz;Fribourg;Switzerland
