ID,house,TransmGSM,Plot,Arrival_date,Country,Overlap,Study_area,Feeding,Type,Time_year,Frequency,Type_food,Quantity,RK_observed,Other_species,Address,Comments
1,1,16329F1C,Control,2/07/2019,SwitzerlandDE,X,Outside,No,,,,,,,,Widenstrasse 10,
2,1,16329F1C,Control,2/07/2019,SwitzerlandDE,X,Outside,No,,,,,,,,Widenstrasse 8,
3,2,16329F1C,Control,2/07/2019,SwitzerlandDE,X,Outside,No,,,,,,,,"Oberrickenstrasse 22, 8727 Walde",
4,3,16329F1C,Control,2/07/2019,SwitzerlandDE,X,Outside,No,,,,,,,,Sonnenbergstrasse 69,
5,3,16329F1C,Control,2/07/2019,SwitzerlandDE,X,Outside,No,,,,,,,,Sonnenbergstrasse 65,
6,4,16329F1C,Control,2/07/2019,SwitzerlandDE,X,Outside,No,,,,,,,,Vorder Schönberg 96,
8,1,16329F1C,Settlement,19/03/2020,SwitzerlandFR,SWIK33 (S); WSIK40 (C),Outside,No,,,,,,,,"21 le revers, La Roche",Very rural: agriculture fields
13,3,16329F1C,Settlement,19/03/2020,SwitzerlandFR,SWIK33 (S); WSIK40 (C),Outside,No,,,,,,,,"63 La freschera, La Roche",Scary woman
14,#3 SWIK33 (S),16329F1C,Settlement,19/03/2020,SwitzerlandFR,SWIK33 (S); WSIK40 (C),Outside,No,,,,,,,,"31 route de la Pra, Pont-la Ville",Very rural: agriculture fields
15,4,16329F1C,Settlement,19/03/2020,SwitzerlandFR,SWIK33 (S),Outside,No,,,,,,,,"28 Fayaulaz, La Roche",
16,1,BD319F1C,Control,22/03/2020,SwitzerlandFR,WSIK68 (C),Outside,No,,,,,,,,"35 Chemin des Eperleires, Villariaz",
17,#2 WSIK68 (C),BD319F1C,Control,22/03/2020,SwitzerlandFR,WSIK68 (C),Outside,No,,,,,,,,"2 route de villaraboud, Vuisternens-devant-Romont",
19,3,BD319F1C,Control,22/03/2020,SwitzerlandFR,WSIK68 (C),Outside,No,,,,,,,,"41 Route de Bulle, Vuisternens-devant-Romont",RK nest in front of house
20,#2 WSIK68 (C),BD319F1C,Control,22/03/2020,SwitzerlandFR,WSIK68 (C),Outside,No,,,,,,,,"Impasse de la condémine, Vuisternens-devant-Romont (4 houses)",
22,4,BD319F1C,Control,22/03/2020,SwitzerlandFR,X,Outside,No,,,,,,,,"13 Chemin de Mouna, Vuisternens-devant-Romont","Joseph Dorthe, 42 Chemin des Eperleires,Villariaz: 026 655 11 18, observes them a lot, has put nestbox for falcons, maybe can give infos"
