ID,consider_analyses,zip,town,canton,coordX,coordY,accuracy_of_coordinates,intentionality,type_of_food,source_of_food,frequency,amount g,restricted feeding,site_characteristics,n_birds,start,started,end,updates 12.2.22
1,large,5506,Mägenwil,AG,659561,251578,exact,intentional,chicken slaughter waste,own factory,daily,>1000,year round,garden,>100,2016,5-10 years ,17/10/2018,
2,unknown,8852,Altendorf,SZ,703550,228180,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,2016,
3,unknown,8524,Buch b. Frauenfeld,TG,704995,272900,,intentional,unknown,unknown,unknown,200,unknown,meadow,unknown,2019,unknown,unknown,
4,unknown,8416,Flaach,ZH,687361,270335,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
5,unknown,1724,Ferpicloz,FR,579005,177550,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
6,unknown,8416,Flaach,ZH,687930,270350,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
7,unknown,5463,Wislikofen,AG,670332,267611,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
8,unknown,1746,Prez-vers-Noréaz,FR,566885,180600,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
9,unknown,5074,Eiken,AG,641600,265300,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
10,unknown,8733,Eschenbach,SG,712650,233960,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
11,unknown,8560,Märstetten,TG,722280,271110,,intentional,unknown,unknown,unknown,unknown,wintering,unknown,unknown,2019,unknown,unknown,
12,unknown,5074,Eiken,AG,640800,264200,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
13,unknown,3665,Wattenwil,BE,608350,179420,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
14,unknown,8460,Marthalen,ZH,690530,275600,,unknown,unknown,unknown,unknown,unknown,unknown,meadow,unknown,2019,unknown,unknown,
15,unknown,9413,Oberegg,AR,758850,255570,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
16,unknown,8500,Frauenfeld,TG,710555,267352,,intentional,unknown,unknown,unknown,unknown,wintering,unknown,unknown,2019,unknown,unknown,
17,unknown,8616,Riedikon,ZH,696060,242960,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
18,unknown,8173,Neerach,ZH,677218,262706,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
19,unknown,1694,Chavannes-sous-Orsonnens,FR,566185,174965,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
20,unknown,8543,Bertschikon,ZH,705257,266333,,intentional,unknown,unknown,unknown,unknown,wintering,unknown,unknown,2019,unknown,unknown,
21,unknown,6153,Ufhusen,LU,633750,217900,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
22,unknown,9242,Oberuzwil,SG,,,,intentional,unknown,unknown,unknown,unknown,wintering,unknown,unknown,2019,unknown,unknown,
23,unknown,3753,Diemtigen,BE,610700,167400,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,
24,unknown,1726,Posat,FR,570720,175970,,unknown,unknown,unknown,unknown,unknown,wintering,unknown,unknown,2019,unknown,unknown,
25,unknown,1734,Tentlingen,FR,581295,179710,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
26,unknown,8500,Frauenfeld,TG,709857,267488,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
27,unknown,1724,Ferpicloz,FR,579010,177250,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
28,unknown,5465,Mellikon,AG,668780,268220,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
29,unknown,3661,Uetendorf,BE,609867,180154,,unknown,unknown,unknown,unknown,unknown,unknown,house + garden,unknown,2019,unknown,unknown,
30,unknown,8172,Niederglatt,ZH,680160,260448,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
31,unknown,8583,Sulgen,TG,730975,266900,,intentional,unknown,unknown,unknown,unknown,wintering,unknown,unknown,2019,unknown,unknown,
32,middle,8113,Boppelsen,ZH,672407,258345,exact,intentional,chicken,grocery store,twoweekly,600,year round,house + garden,5,2017,> 10 years,ongoing,
33,unknown,4145,Gempen,SO,617030,258298,,intentional,meat,unknown,unknown,unknown,unknown,house + garden,8,2019,unknown,unknown,
34,unknown,5436,Würenlos,AG,670255,254774,,intentional,meat,grocery store,weekly,300,year round,house + garden,2,2019,5-10 years ,ongoing,
35,unknown,5503,Schafisheim,AG,652628,247291,,intentional,meat,unknown,unknown,unknown,unknown,unknown,unknown,2020,unknown,ongoing,
36,large,3125,Toffen,BE,604018,190815,,intentional,meat,unknown,daily,unknown,unknown,garden,>15,2020,>2 years,2020,
37,unknown,9464,Lienz,SG,757162,237778,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019,unknown,unknown,
38,large,3157,Milken,BE,593524.9,183593,,intentional,slaughter waste,own butchery,several times per week,300,year round,garden,>15,2016,5-10 years ,ongoing,"end ""unknown"" -> ""ongoing"""
39,small,3186,Düdingen,FR,582828.6,188172.6,,nonintentional,kitchen waste,kitchen,several times per week,100,year round,farm,unkown,2016,2-3 years ,unknown,
40,small,1712,Tafers,FR,583341.6,183281.7,,nonintentional,placenta,farm,weekly,1500,wintering,farm,unkown,2016,3-5 years ,unknown,
41,small,1735,Giffers,FR,583641.8,178144.8,,intentional,mice,cats,rarely,100,wintering,farm,unkown,2016,5-10 years ,unknown,
42,small,1735,Giffers,FR,583731,178216,,intentional,meat,unkown,weekly,100,year round,house + garden,unkown,2016,3-5 years ,unknown,
43,small ,1717,St. Ursen,FR,584300.1,180846.4,exact,intentional,bread,friend/bakery,daily,200 - 500,year round,meadow, 2-5,2016,2013,ongoing,
44,small,1715,Alterswil,FR,585533,182836,,nonintentional,placenta,farm,14d,1500,wintering,farm,unkown,2016,5-10 years ,unknown,
45,small,3185,Schmitten,FR,585805.7,188252.3,,intentional,kitchen waste,kitchen,daily,100,year round,farm,unkown,2016,>10 years ,unknown,
46,small,1713,St. Antoni,FR,587277,184619,,nonintentional,kitchen waste,kitchen,weekly,100,year round,farm,unkown,2016,3-5 years ,unknown,
47,small,3184,Wünnewil,FR,587953.3,190798.4,,nonintentional,placenta,farm,weekly,1500,year round,farm,unkown,2016,5-10 years ,unknown,
