Name,x,y,year,n_event,start_date,end_date
Alterswil_Rüti,586675,180647,2016,25,23/06/2016,22/08/2016
Alterswil_Seliholz_edge,585564,184246,2016,53,24/03/2016,7/07/2016
Alterswil_Wolgiswil,584674,182598,2016,43,24/03/2016,29/06/2016
Bösingen_Fendringen,584464,192321,2016,3,22/06/2016,30/06/2016
Bösingen_Noflen_picea,586645,193559,2016,33,24/03/2016,10/06/2016
Brünisried_Holzgasse,586936,179580,2016,4,30/03/2016,10/04/2016
Brünisried_Obere Weier,587715,177676,2016,15,24/03/2016,6/05/2016
Buchholterberg_Badhaus,619364,185658,2016,7,12/04/2016,20/05/2016
Flamatt_Vorschalta,592504,192929,2016,5,23/05/2016,5/06/2016
Guggisberg_Hirschmatt,590821,177989,2016,4,22/06/2016,8/07/2016
Guggisberg_Steinachere,591103,178579,2016,5,30/03/2016,10/04/2016
Guggisberg_Unterbalm,592614,178413,2016,11,23/06/2016,19/07/2016
Guggisberg_Willmesacher,591199,179557,2016,52,24/03/2016,12/07/2016
Liebistorf_Längeberg,581145,195650,2016,27,29/03/2016,8/07/2016
Litzistorf_Ulmus,583708,191495,2016,4,19/06/2016,30/06/2016
Mamishaus_Hausmattweid,594285,184237,2016,6,24/03/2016,10/04/2016
Mamishaus_Herrenholz,593595,183647,2016,17,24/03/2016,12/05/2016
Milken_Halten,594287,182111,2016,3,23/06/2016,30/06/2016
Mittelhäusern_Hubel,595130,191670,2016,24,29/03/2016,5/06/2016
Niedermuhlern_Schür,602091,190817,2016,5,30/03/2016,12/04/2016
Plaffeien_Hohliebi,588100,175422,2016,46,14/04/2016,7/07/2016
Plasselb_Allmet,586025,175432,2016,8,27/05/2016,11/06/2016
Riedstätt_Mittlisried,591031,180787,2016,3,23/06/2016,7/07/2016
Sangernboden_underi Burg,593504,173738,2016,3,22/06/2016,8/07/2016
Schmitten_Bunziwil,586643,189292,2016,30,24/03/2016,25/05/2016
Schmitten_Fillistorf,584526,189977,2016,5,22/06/2016,7/07/2016
Schwarzenburg_Waldgasse,591529,183971,2016,8,14/04/2016,27/04/2016
Steffisburg_Siechenboden,613552,181486,2016,3,30/03/2016,4/04/2016
Tafers_Rohr,584791,185427,2016,50,24/03/2016,5/07/2016
Tentlingen_Moosholz,585397,178801,2016,13,14/04/2016,18/05/2016
Tentlingen_Vieille Rossmatta_N,580044,179640,2016,6,23/06/2016,6/07/2016
Ueberstorf_Banholz edge,589211,190746,2016,46,24/03/2016,27/06/2016
Ueberstorf_Mischlere,589506,189136,2016,49,24/03/2016,11/07/2016
Ueberstorf_OberholzWald,592419,189631,2016,42,11/04/2016,2/07/2016
Ueberstorf_Summerau center,591676,189131,2016,8,24/03/2016,17/04/2016
Uetendorf_Uetendorf,609527,181324,2016,10,30/03/2016,1/05/2016
Wahlern_Althaus,593185,186890,2016,24,12/04/2016,1/06/2016
Wahlern_Gänsemoos,593409,187131,2016,14,24/03/2016,12/06/2016
Wünnewil_Staffels S,586437,191938,2016,3,22/06/2016,27/06/2016
Bunziwil,586748,188857,2015,20,22/05/2015,11/07/2015
Äschlenberg,586546,181879,2015,21,22/05/2015,11/07/2015
Mischlere,589433,189142,2015,16,29/05/2015,7/07/2015
Obermonten,587554,184156,2015,21,22/05/2015,11/07/2015
Plentsch,582853,180835,2015,20,22/05/2015,9/07/2015
Wolgiswil,584652,182611,2015,21,22/05/2015,9/07/2015
Rütihubel,583120,189013,2015,21,22/05/2015,7/07/2015
Kastels,579690,185992,2015,2,24/05/2015,26/05/2015
Winterlingen,588811,185789,2015,14,22/05/2015,11/07/2015
Hergisberg,591685,189178,2015,9,19/06/2015,11/07/2015
Banholz,589226,190769,2015,5,4/07/2015,11/07/2015
Niedermetteln,591005,191192,2015,5,4/07/2015,11/07/2015
Lehwil,587965,186584,2015,2,7/07/2015,9/07/2015
Bois_de_morvin,580895,181093,2015,5,5/07/2015,11/07/2015
Ledeu,589402,189832,2015,9,21/06/2015,13/07/2015
Gasstation,585183,188087,2015,1,21/06/2015,23/06/2015
