nr,coord_x,coord_y,square,random,area,Q1,Q2,Q3,Q4.a,Q4.b,Q4.c,Q5,Q6Rotmilan,Q7,Q8.Erhaltung,Q8.näher,Q8.Vorschlag,Q8.Photo,Q8.übriges.L,Q8.sonstiges,Q9,Q10,Q11.a,Q11.b,Q11.c,sex,age,reaction..0.2.,building.type,comments,intentionality,ref.nr..Known.feeder
1,583260.8,192259.2,G18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,20-35,1,farm,Shit heap ,NA,NA
2,582698,190820.6,G18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,farm,Shit heap ,NA,NA
3,583082,190909.1,G18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,farm,Shit heap ,NA,NA
4,582857,190119.1,G18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,0,house + garden,NA,NA,NA
5,584961.7,190920.7,G18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,Shit heap ,NA,NA
6,583219.7,192370.1,G18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,B,>65,0,house + garden,NA,NA,NA
7,583860.4,190357.3,G18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,NA,NA,NA
8,585676.2,191743.8,G19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,B,>65,1,house + garden,Check schmitten berg,NA,NA
9,585773.7,190221.5,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
10,586272.9,190404.8,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,apartment ,NA,NA,NA
11,587125.6,191259.9,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,0,house + garden,Loves birds and rk but against feeding,NA,NA
12,587333.5,190624.7,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,apartment ,NA,NA,NA
13,585582.4,190319,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,<20,1,house + garden,NA,NA,NA
